dateTime,Temperature,Humidity,Heater,Vent,Fan
2016-04-26 03:12:06,18.1,48.9,40,31,32
2016-04-26 03:12:36,18.1,48.2,40,31,42
2016-04-26 03:13:06,18.1,47.9,40,31,42
2016-04-26 03:13:36,18.1,48.0,40,31,42
2016-04-26 03:14:06,18.1,48.7,40,31,42
2016-04-26 03:14:36,18.1,48.0,40,31,42
2016-04-26 03:15:06,18.1,48.3,40,31,42
2016-04-26 03:15:36,18.2,50.9,40,31,32
2016-04-26 03:16:06,18.2,49.1,40,31,42
2016-04-26 03:16:36,18.2,48.5,40,31,42
2016-04-26 03:17:06,18.1,48.8,40,31,42
2016-04-26 03:17:36,18.1,48.5,40,31,42
2016-04-26 03:18:06,18.1,48.8,40,31,42
2016-04-26 03:18:36,18.1,48.1,40,31,42
2016-04-26 03:19:06,18.1,49.1,40,31,32
2016-04-26 03:19:36,18.1,48.7,40,31,42
2016-04-26 03:20:06,18.0,49.1,40,41,42
2016-04-26 03:20:36,17.7,47.2,40,31,42
2016-04-26 03:21:06,17.7,47.1,40,31,42
2016-04-26 03:21:36,17.7,47.0,40,31,42
2016-04-26 03:22:06,17.7,47.2,40,31,42
2016-04-26 03:22:38,17.7,48.2,40,31,32
2016-04-26 03:23:06,17.8,47.8,40,31,42
2016-04-26 03:23:36,17.8,47.9,40,31,42
2016-04-26 03:24:06,17.8,47.1,40,31,42
2016-04-26 03:24:36,17.8,48.0,40,31,42
2016-04-26 03:25:06,17.8,49.0,40,31,42
2016-04-26 03:25:36,17.8,48.4,40,31,42
2016-04-26 03:26:06,17.9,49.8,40,31,32
2016-04-26 03:26:36,17.9,48.1,40,31,42
2016-04-26 03:27:07,17.9,47.9,40,31,42
2016-04-26 03:27:37,17.9,48.4,40,31,42
2016-04-26 03:28:07,17.9,48.2,40,31,42
2016-04-26 03:28:37,17.9,48.4,40,31,42
2016-04-26 03:29:07,17.9,47.3,40,31,42
2016-04-26 03:29:37,17.9,50.0,40,31,32
2016-04-26 03:30:07,17.9,49.2,40,31,42
2016-04-26 03:30:37,17.9,49.5,40,31,42
2016-04-26 03:31:07,17.9,49.3,40,31,42
2016-04-26 03:31:37,17.9,48.7,40,31,42
2016-04-26 03:32:13,17.9,48.2,40,31,42
2016-04-26 03:32:37,17.9,48.0,40,31,42
2016-04-26 03:33:07,17.9,50.9,40,31,32
2016-04-26 03:33:37,17.9,49.8,40,31,42
2016-04-26 03:34:07,17.9,49.2,40,31,42
2016-04-26 03:34:37,17.9,48.7,40,31,42
2016-04-26 03:35:07,17.9,49.2,40,31,42
2016-04-26 03:35:37,17.9,49.0,40,31,42
2016-04-26 03:36:07,17.9,48.2,40,31,42
2016-04-26 03:36:37,17.9,50.1,40,31,32
2016-04-26 03:37:07,17.9,48.8,40,31,42
2016-04-26 03:37:37,17.9,49.2,40,31,42
2016-04-26 03:38:09,17.9,49.0,40,31,42
2016-04-26 03:38:37,17.8,49.2,40,41,42
2016-04-26 03:39:07,17.5,47.1,40,31,42
2016-04-26 03:39:37,17.5,47.2,40,31,42
2016-04-26 03:40:07,17.5,48.2,40,31,32
2016-04-26 03:40:37,17.5,48.4,40,31,42
2016-04-26 03:41:07,17.5,47.8,40,31,42
2016-04-26 03:41:37,17.6,47.1,40,31,42
2016-04-26 03:42:07,17.6,47.0,40,31,42
2016-04-26 03:42:37,17.6,47.5,40,31,42
2016-04-26 03:43:07,17.6,47.6,40,31,42
2016-04-26 03:43:37,17.6,49.3,40,31,32
2016-04-26 03:44:09,17.6,48.4,40,31,42
2016-04-26 03:44:37,17.7,49.2,40,31,42
2016-04-26 03:45:07,17.7,49.3,40,31,42
2016-04-26 03:45:37,17.7,48.2,40,31,42
2016-04-26 03:46:09,17.7,48.1,40,31,42
2016-04-26 03:46:37,17.7,47.8,40,31,42
2016-04-26 03:47:07,17.7,50.8,40,31,32
2016-04-26 03:47:37,17.7,49.8,40,31,42
2016-04-26 03:48:07,17.7,49.8,40,31,42
2016-04-26 03:48:37,17.7,48.8,40,31,42
2016-04-26 03:49:07,17.7,48.7,40,31,42
2016-04-26 03:49:39,17.7,48.4,40,31,42
2016-04-26 03:50:07,17.7,48.7,40,31,42
